,priority,NCommentT,NActor,meanCommentSize,ticketCleanedBodyLen,nticketsByCreatorOpen,nClosedticketsByCreatorOpen,nCommentsByCreator,NCommentByActorsT,NticketsCreatedInProject,NticketsCreatedInProjectT,NticketsCreatedInProjectClosed,NticketsCreatedInProjectClosedT,NActivityInProject,NActivityInProjectT,chainLength,longTimeHold,lateTriageDays,InitialActivityCount,InitialActionCount,recentActionCount,recentActivityCount,activitysequence,projectCoverage,OOSLA
1155,0,3,4,19.33333333,96,0,0,0,0,448,75,448,75,11818,1913,0,0,0,1.4,0.0,0.2,2.0,0.7749475240000001,0.235612214,0
1156,1,3,3,10.0,58,22,22,0,0,47,3,47,3,1344,81,0,0,41,0.2,0.0,0.0,1.0,0.32169199,0.20631085300000002,0
1157,2,4,7,15.0,211,11,10,0,0,13,1,13,1,321,24,0,0,0,0.272727273,0.0,0.045454545,0.954545455,0.09272888300000001,0.35773599100000003,0
1158,1,9,5,15.22222222,29,0,0,4,0,0,0,0,0,0,0,0,0,0,1.9333333330000002,0.333333333,0.133333333,0.8,0.041195661,0.004128837,0
1159,0,4,3,17.25,100,2,2,0,0,131,12,131,12,3638,328,0,0,0,3.6,0.2,0.2,1.2,0.110703409,0.09893021,0
1160,1,1,2,9.0,65,4,4,39,85,5,1,5,1,171,32,0,0,30,0.4,0.066666667,0.066666667,0.6,0.059689134000000005,0.097291797,0
1161,0,10,7,19.8,96,0,0,0,0,3,0,3,0,82,0,0,0,0,4.2,0.2,0.6,3.4,0.101402014,0.172354475,0
1162,0,9,6,28.77777778,234,57,56,80,51,17,0,17,0,368,0,0,0,2,4.6,0.6,0.4,1.8,0.11274859300000001,0.195720896,1
1163,0,1,2,5.0,114,1,1,3,0,26,4,25,4,575,89,1,0,0,2.0,0.0,0.0,0.2,0.66882056,0.42538824700000005,1
1164,1,3,7,30.66666667,238,9,9,19,416,4,3,4,3,167,131,0,0,0,0.7333333329999999,0.0,0.0,0.7333333329999999,0.057621092,0.127508879,0
1165,1,0,2,0.0,112,102,102,0,0,21,4,20,4,718,99,0,0,0,0.066666667,0.0,0.0,0.2,0.9226894379999999,0.130892351,1
1166,2,1,4,4.0,77,134,133,501,159,7,1,7,1,243,28,1,1,6,0.13636363599999998,0.0,0.045454545,0.545454545,0.632629514,0.46916565299999996,0
1167,0,0,2,0.0,103,111,111,0,0,8,0,8,0,237,0,1,0,0,0.8,0.0,0.0,0.0,0.874221921,0.068124503,1
1168,1,5,6,28.0,136,1,1,0,0,46,3,46,3,1544,82,0,0,34,0.46666666700000003,0.0,0.2,1.066666667,0.070487648,0.09839268,0
1169,0,3,4,19.33333333,104,0,0,0,0,1,0,1,0,23,0,0,0,12,3.2,0.0,0.2,2.2,0.264618993,0.004628339,0
1170,1,2,4,57.0,45,22,22,227,118,55,16,55,16,1654,449,0,0,17,0.26666666699999997,0.0,0.0,0.133333333,0.11114999699999999,0.09839268,0
1171,2,1,4,115.0,58,4,4,0,0,11,2,11,2,378,49,0,0,0,0.090909091,0.0,0.0,0.318181818,0.828683555,0.35773599100000003,1
1172,0,2,2,19.5,30,0,0,0,0,3,0,3,0,100,0,1,0,0,2.8,0.2,0.0,0.4,0.503520072,0.00784019,1
1173,0,19,12,85.68421053,384,0,0,0,58,0,0,0,0,0,0,1,0,0,9.6,1.4,0.2,5.4,0.22052627800000002,0.004280082,0
1174,2,1,5,15.0,67,63,63,178,48,4,0,4,0,111,0,1,0,43,0.272727273,0.0,0.045454545,0.454545455,0.063471496,0.30538559,0
1175,2,13,7,23.84615385,101,16,16,0,0,6,0,6,0,163,0,0,0,0,0.818181818,0.090909091,0.13636363599999998,1.0,0.061038405,0.43648833,0
1176,0,7,5,32.28571429,105,0,0,0,0,0,0,0,0,0,0,4,0,0,5.0,0.6,0.6,1.6,0.44444668299999995,0.68728745,1
